,shoulder_pan.pos,shoulder_lift.pos,elbow_flex.pos,wrist_flex.pos,wrist_roll.pos,gripper.pos
shoulder_pan.pos,1.0,0.379117785175002,-0.524334317139615,0.4559987659745008,-0.07111133306892194,0.1424804200236325
shoulder_lift.pos,0.379117785175002,1.0,-0.7839774487810807,0.5129326217454411,-0.19113759142931563,0.21290066269060076
elbow_flex.pos,-0.524334317139615,-0.7839774487810807,1.0,-0.5774751765320753,0.2726462323471499,0.08633105013601917
wrist_flex.pos,0.4559987659745008,0.5129326217454411,-0.5774751765320753,1.0,-0.09019729873162899,0.21806689499181658
wrist_roll.pos,-0.07111133306892194,-0.19113759142931563,0.2726462323471499,-0.09019729873162899,1.0,0.11358460621273796
gripper.pos,0.1424804200236325,0.21290066269060076,0.08633105013601917,0.21806689499181658,0.11358460621273796,1.0
