,データポイント数,wrist_roll平均値,wrist_roll標準偏差,wrist_roll最大値,wrist_roll最小値,wrist_roll変化量平均,wrist_roll変化量最大
20250617_144611,3877.0,20.67944608052939,61.59167997131478,100.0,-99.95115995115997,0.7108520421213921,199.7069597069597
20250617_145409,7727.0,6.817434323581597,59.97617710011244,100.0,-100.0,0.7599444591419741,199.90231990231993
